#TAG,NAME,PURPOSE
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,arandr,"allows the user to customize monitor arrangements."
,exfat-utils,"allows management of FAT drives."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,dosfstools,"allows access to dos-like filesystems."
,bc,"is a basic calculator."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,unrar,"extracts rars."
,rxvt-unicode,"is a terminal emulator."
,urxvt-perls,"provides perl scripts for the urxvt terminal."
,sxiv,"is a minimal image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can manipulate video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
,neovim,"is the patrician's choice text editor."
,pass,"is the only password manager that even matters."
,pass-otp,"provides one time passwords (otp)."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,ncmpcpp,"a ncurses interface for music."
,mpv,"is a video player."
,man-db,"lets me read man pages of programs."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts,"provides fonts."
,noto-fonts-emoji,"provides emojis."
,ntfs-3g,"allows accessing NTFS partitions."
,alsa-utils,"provides utilities for alsa sound."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,poppler,"is a pdf rendering library."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"provides DjVu support."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zathura-pdf-poppler,"allows pdf support based on poppler."
,zathura-ps,"provides PostScript support for zathura."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,maim,"takes screenshots."
G,https://github.com/nkostin4/slstatus.git,"is the suckless status bar."
G,https://github.com/nkostin4/dmenu.git,"is the suckless run launcher."
G,https://github.com/nkostin4/dwm.git,"is the suckless window manager."
G,https://github.com/nkostin4/slock.git,"is the suckless display locker."
G,https://github.com/nkostin4/st.git,"is the suckless terminal emulator."
,texlive-most,"provides the TeX typesetting system."
,biber,"provides a bibliography processing backend."
,asymptote,"is a powerful vector graphics language."
G,https://github.com/LukeSmithxyz/kjv.git,"is the King James Version Bible."
G,https://github.com/LukeSmithxyz/vul.git,"is the Latin Vulgate Bible."
G,https://github.com/LukeSmithxyz/grb.git,"is the Greek Bible."
G,https://github.com/zsh-users/zsh-syntax-highlighting.git,"provides syntax highlighting for the zoomer shell."
G,https://github.com/Hendrikto/backlight_control.git,"provides a simple way to control the backlighting."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
P,numpy,"is a python library that gives support for large, multi-dimensional arrays and matrices."
P,scipy,"is a python library for scientific computing."
P,matplotlib,"is a python library for making visualizations."
,htop,"is an interactive process viewer."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
